nama_tempat_wisata,kategori,preferensi,kecamatan,kabupaten_kota,rating,jumlah_rating,harga_tiket,link,latitude,longitude,link_gambar
Kolam renang pancar,Rekreasi,Wisata Rekreasi,Babakan Madang,Kabupaten Bogor,4.2,58,15000,https://www.google.com/maps/place/Kolam+renang+pancar/data=!4m7!3m6!1s0x2e69b9519c5cc30f:0x64b7af8e11700f3e!8m2!3d-6.574515!4d106.9129858!16s%2Fg%2F11srgx9xwg!19sChIJD8NcnFG5aS4RPg9wEY6vt2Q?authuser=0&hl=id&rclk=1,-6.574515,106.9129858,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSytd3rIEE1CGybjvRRepaeJV8h0AsGIbATHR2bLKBt5J8wlHm1VgEwqnw424YtTboCrtibhbQIFFPk6bIteJz7Gssl8Q648waEDgJI3qkDykDxdjhgcejG3-VneMw_LaoBKEyTH=w1200-h800
Wisata Edukasi TK SD di Bogor,Budaya,Wisata Budaya & Edukasi,Babakan Madang,Kabupaten Bogor,4.9,1615,50000,https://www.google.com/maps/place/Wisata+Edukasi+TK+SD+di+Bogor/data=!4m7!3m6!1s0x2e69c6eb1a26803b:0xf7a84ee1b7a1f68b!8m2!3d-6.5757239!4d106.8403557!16s%2Fg%2F11bymykydq!19sChIJO4AmGuvGaS4Ri_aht-FOqPc?authuser=0&hl=id&rclk=1,-6.5757239,106.8403557,https://lh3.googleusercontent.com/p/AF1QipP9OlKkUehCybvCvdocQzKWfqmj-H5TVeSdoEqD=w1200-h800
Curug Cibaliung Jonggol,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.6,749,20000,https://www.google.com/maps/place/Curug+Cibaliung+Jonggol/data=!4m7!3m6!1s0x2e69b94322f96831:0x48527ed203b300f5!8m2!3d-6.5995973!4d106.9585682!16s%2Fg%2F11hntppw70!19sChIJMWj5IkO5aS4R9QCzA9J-Ukg?authuser=0&hl=id&rclk=1,-6.5995973,106.9585682,https://lh3.googleusercontent.com/p/AF1QipOvrJ0QEJ7kBkNu6S_SdNGcmTCOiNs_LWlgb3PM=w1200-h800
Gunung Pancar Tour Wisata Hot Spring Water,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,3.6,506,15000,https://www.google.com/maps/place/Gunung+Pancar+Tour+Wisata+Hot+Spring+Water/data=!4m7!3m6!1s0x2e69b87f6d95e303:0x157f3ab64484c1c6!8m2!3d-6.5808538!4d106.9046265!16s%2Fg%2F1pzqrsk_l!19sChIJA-OVbX-4aS4RxsGERLY6fxU?authuser=0&hl=id&rclk=1,-6.5808538,106.9046265,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy7rdYDybyZiSE4qdMZTVkItUIfcvoPHWTbZH1xPGVV-uFicPsOUEYcVQWa9fx8TGT-Ae1qvGVLoR5_QdAxqHc1t0ZycaPE_hAS6c6NBoufhmVWucavvKh6pqZ9Bv0Kj6lN1VoY=w1200-h800
Wisata Bukit Domba,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.6,476,35000,https://www.google.com/maps/place/Wisata+Bukit+Domba/data=!4m7!3m6!1s0x2e69c9004a61e28f:0xcb6829b09c739e1d!8m2!3d-6.6248368!4d106.9063456!16s%2Fg%2F11y66960h1!19sChIJj-JhSgDJaS4RHZ5znLApaMs?authuser=0&hl=id&rclk=1,-6.6248368,106.9063456,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz0lrxue9Qo3CNUVpLJcvEqwtdMq-BipQK5w1Oo0-Uzs3bREYufkGe955hkInNQ_z5yyBAVREsgl9Offm7V-Oel-voan3yHvayeT8JP7Az2OG9Ov5PoqWbuG0xg14wVpNEgKxnSvA=w1200-h800
Curug Cigede,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4,81,0,https://www.google.com/maps/place/Curug+Cigede/data=!4m7!3m6!1s0x2e69c11e4dd6b08b:0x71580eccce8b9fe9!8m2!3d-6.520396!4d106.8629844!16s%2Fg%2F11gc9xqj23!19sChIJi7DWTR7BaS4R6Z-LzswOWHE?authuser=0&hl=id&rclk=1,-6.520396,106.8629844,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwqA2vW1-wPQ2hsHeTw6nHcELXJvsQda-s65qmN-2NHE5Kq6RcM1OeciTlMsODEjO4CHzKRtxQylRFbym37akXYmlhYw_FYCd9hGTVVpjc0L27MQpGuFDsA9DDaIxUUAMz5TI7h=w1200-h800
Curug kanyere,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.4,106,15000,https://www.google.com/maps/place/Curug+kanyere/data=!4m7!3m6!1s0x2e69c75ef85387fb:0xd554c7bd1573ed15!8m2!3d-6.6201226!4d106.9097177!16s%2Fg%2F11rfscphh7!19sChIJ-4dT-F7HaS4RFe1zFb3HVNU?authuser=0&hl=id&rclk=1,-6.6201226,106.9097177,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyFfjdUsDJe5WtXRFQkQhrqQBLXCRKK90tc4_iqGvxsSfWcSNvfJeJ9M5az5Rytq4pIKQHNIvCsYd7A-eRRSHnCvzz0Zow_MJrqN1KD61PHi8TnB0GXqxJmNa4my58-bq7KoU_w-g=w1200-h800
Hutan Hujan Sentul,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.7,344,30000,https://www.google.com/maps/place/Hutan+Hujan+Sentul/data=!4m7!3m6!1s0x2e69b99106288ee3:0xa1a1a08723a58c1a!8m2!3d-6.5792586!4d106.9277932!16s%2Fg%2F11rc46fdmy!19sChIJ444oBpG5aS4RGoylI4egoaE?authuser=0&hl=id&rclk=1,-6.5792586,106.9277932,https://lh3.googleusercontent.com/p/AF1QipPOHMN2IFgaLqtNup0g_RyJw1AgdjGU3jbZxg7D=w1200-h800
Guide Trekking Sentul,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,5,170,175000,https://www.google.com/maps/place/Guide+Trekking+Sentul/data=!4m7!3m6!1s0x2e69b9ef42651717:0x1150d572651eef29!8m2!3d-6.5750923!4d106.8923905!16s%2Fg%2F11lc864x8g!19sChIJFxdlQu-5aS4RKe8eZXLVUBE?authuser=0&hl=id&rclk=1,-6.5750923,106.8923905,
pemandian air panas,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.3,78,32500,https://www.google.com/maps/place/pemandian+air+panas/data=!4m7!3m6!1s0x2e69b97b26c2341d:0x6678d85baf2e43f3!8m2!3d-6.582021!4d106.924129!16s%2Fg%2F11fwxcr9d5!19sChIJHTTCJnu5aS4R80Mur1vYeGY?authuser=0&hl=id&rclk=1,-6.582021,106.924129,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx8MxGbtKGtgShPKD6yzrI6zCqD6xdlWY8wg_qu1pSt4cQDCCRWgEGTQIhB7Hs_K2NstLSBWBwqX8EAGEficGkHKfWNDbAHLL2tw3LSEh0LNiHSz8srCfviDwVmloJ74zizLW3M=w1200-h800
sentul eco edu tourism forest,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.6,318,0,https://www.google.com/maps/place/sentul+eco+edu+tourism+forest/data=!4m7!3m6!1s0x2e69b94cb04ae973:0xf5158b999cd05369!8m2!3d-6.5724577!4d106.9129037!16s%2Fg%2F11fmpxsyt4!19sChIJc-lKsEy5aS4RaVPQnJmLFfU?authuser=0&hl=id&rclk=1,-6.5724577,106.9129037,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxxMpER3mdzl11OKpY1Z0um4PefllJ9ok7m-j7HXTjH0nFdFUbsLodV01i0plkhT6-OLRkkuXPXbCgD-KzwlwTGlR8xGYEEppQnqxmMDte-0fw0bwGKLBZMVspMPLVadwlt9p0elw=w1200-h800
